id,name,price,city,district,road,addr,review,empty_review
1,品?100元熱炒,低,台北市,大安區,樂利路68號,106台北市大安區樂利路68號,757,633
2,金霸王熱炒?快炒100 健康店,低,台北市,松山區,健康路5-1號,105台北市松山區健康路5-1號,168,181
3,?客棧海鮮熱炒,中,台北市,中山區,民生東路二段2號,10491台北市中山區民生東路二段2號,390,523
4,大道18號精緻熱炒,中,台北市,大安區,市民大道四段20號,106台北市大安區市民大道四段20號,261,320
5,宜蘭大溪港現撈海鮮熱炒,低,台北市,萬華區,長沙街二段69號,108台北市萬華區長沙街二段69號,233,281
6,勁喝呷熱炒,中,台北市,中山區,長春路119-9號,10491台北市中山區長春路119-9號,192,247
7,港記 港式熱炒泰國蝦,中,台北市,中山區,長安東路一段48號,10491台北市中山區長安東路一段48號,80,82
8,2馬快炒,低,台北市,中山區,中山北路一段105巷13-3號,10491台北市中山區中山北路一段105巷13-3號,120,142
9,33區熱炒,低,台北市,中山區,長安東路一段63-1號,10491台北市中山區長安東路一段63-1號,541,672
10,八芳快炒,低,台北市,中正區,南陽街3號,100台北市中正區南陽街3號,92,35
11,豪香熱炒,低,台北市,大安區,羅斯福路三段333巷7號,106台北市大安區羅斯福路三段333巷7號,299,267
12,天金海鮮熱炒,低,台北市,大同區,民樂街117號,103台北市大同區民樂街117號,137,91
13,土狗幫熱炒燒烤餐廳,,台北市,大安區,新生南路一段147-2號,106台北市大安區新生南路一段147-2號,151,123
14,老朋友小酌熱炒,低,台北市,大安區,安和路二段36號1F,106台北市大安區安和路二段36號1F,433,350
15,南昌夜市紅燈籠熱炒,低,台北市,中正區,南昌路二段14號,100台北市中正區南昌路二段14號,50,25
16,潮鮮平價海鮮熱炒,中,台北市,松山區,市民大道四段157號,106台北市松山區市民大道四段157號,107,106
17,炒天下熱炒,中,台北市,大安區,通化街171巷36號,106台北市大安區通化街171巷36號,132,107
18,九三熱炒,低,台北市,大安區,杭州南路二段93巷2號,106台北市大安區杭州南路二段93巷2號,69,52
19,天一熱炒,低,台北市,中山區,錦州街210號,10491台北市中山區錦州街210號,64,51
20,平價快炒,低,台北市,大安區,忠孝東路四段216巷19弄10號,106台北市大安區忠孝東路四段216巷19弄10號,551,455
21,熱翻天生猛海鮮,低,台北市,大安區,復興南路二段154號,10665台北市大安區復興南路二段154號,286,270
22,新欣餐飲熱炒店,,台北市,中正區,羅斯福路一段9巷1號,100台北市中正區羅斯福路一段9巷1號,6,1
23,大道創意料理快炒,中,台北市,中山區,市民大道三段35號,104台北市中山區市民大道三段35號,200,176
24,東山快炒(炒飯/炒麵/平價熱炒專售),低,台北市,萬華區,和平西路三段151號,108台北市萬華區和平西路三段151號,47,23
25,嚐鮮樓精緻熱炒,中,台北市,信義區,信安街92號,110台北市信義區信安街92號,92,111
26,好棒棒平價快炒,低,台北市,大安區,復興南路一段271號,106台北市大安區復興南路一段271號,270,222
27,一郎嫂快炒,,台北市,大同區,民樂街3號,103台北市大同區民樂街3號,57,26
